Name;Value;Taken;Solution;%_Improved;CPU_Time
instancia_01_n10_m6.txt;2106.73864;[1, 2, 4, 5, 8, 9];[False, True, True, False, True, True, False, False, True, True];7.6605480770370775%;0.006548404693603516 s
instancia_02_n10_m8.txt;2720.6112200000002;[1, 2, 3, 4, 5, 7, 8, 9];[False, True, True, True, True, True, False, True, True, True];5.904461575876127%;0.008000612258911133 s
instancia_03_n15_m3.txt;670.80497;[1, 7, 10];[False, True, False, False, False, False, False, True, False, False, True, False, False, False, False];19.523607162953226%;0.005003213882446289 s
instancia_04_n15_m9.txt;5574.203640000001;[0, 1, 4, 5, 6, 8, 9, 10, 11];[True, True, False, False, True, True, True, False, True, True, True, True, False, False, False];3.4438890737804115%;0.013998270034790039 s
instancia_05_n30_m6.txt;1912.5975200000003;[0, 3, 6, 15, 21, 25];[True, False, False, True, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, True, False, False, False, False];20.67170198798088%;0.1871500015258789 s
instancia_06_n30_m24.txt;34073.31095000002;[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29];[False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, False, False, True, True, True, True, True, True, True];3.5508530769220954%;0.6985025405883789 s
instancia_07_n50_m15.txt;10852.35428;[2, 9, 11, 12, 14, 15, 16, 17, 20, 21, 24, 27, 33, 45, 47];[False, False, True, False, False, False, False, False, False, True, False, True, True, False, True, True, True, True, False, False, True, True, False, False, True, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False];11.868095122277794%;0.7393698692321777 s
instancia_08_n100_m10.txt;5337.420599999999;[4, 7, 20, 33, 34, 36, 44, 70, 94, 96];[False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False];15.38302049358741%;0.9884562492370605 s
instancia_09_n125_m37.txt;110518.11388000002;[12, 13, 17, 18, 21, 25, 26, 29, 30, 31, 39, 41, 42, 52, 53, 56, 59, 61, 66, 71, 75, 82, 85, 86, 91, 94, 95, 99, 100, 103, 104, 107, 109, 114, 117, 123, 124];[False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, True, True, False, False, True, False, False, False, True, True, False, False, True, True, True, False, False, False, False, False, False, False, True, False, True, True, False, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, True, False, True, False, False, False, False, True, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, True, True, False, False, False, False, True, False, False, True, True, False, False, False, True, True, False, False, True, True, False, False, True, False, True, False, False, False, False, True, False, False, True, False, False, False, False, False, True, True];3.8222226101791392%;4.464870452880859 s
instancia_10_n150_m15.txt;22570.739810000006;[7, 9, 13, 21, 25, 35, 38, 41, 42, 63, 84, 86, 107, 143, 149];[False, False, False, False, False, False, False, True, False, True, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True];10.247827380596846%;2.2372236251831055 s
