Jorge_Camacho_Mejias - Algorithm_2
Name;Value;Taken;Solution;%_Improved;CPU_Time
instancia_01_n10_m6.txt;2106.73864;[1, 2, 4, 5, 8, 9];[False, True, True, False, True, True, False, False, True, True];8.930509757255791%;0.06201529502868652 s
instancia_02_n10_m8.txt;2720.6112200000002;[1, 2, 3, 4, 5, 7, 8, 9];[False, True, True, True, True, True, False, True, True, True];0.0%;0.08810567855834961 s
instancia_03_n15_m3.txt;670.80497;[1, 7, 10];[False, True, False, False, False, False, False, True, False, False, True, False, False, False, False];11.517788750964144%;0.04581737518310547 s
instancia_04_n15_m9.txt;5574.203640000001;[0, 1, 4, 5, 6, 8, 9, 10, 11];[True, True, False, False, True, True, True, False, True, True, True, True, False, False, False];1.5323117819451397%;0.1356201171875 s
instancia_05_n30_m6.txt;1912.5975200000003;[0, 3, 6, 15, 21, 25];[True, False, False, True, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, True, False, False, False, False];3.169621839691956%;0.1752479076385498 s
instancia_06_n30_m24.txt;34073.31095000002;[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29];[False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, False, False, True, True, True, True, True, True, True];2.3815708366436326%;0.7003617286682129 s
instancia_07_n50_m15.txt;10831.09153;[2, 9, 11, 12, 14, 15, 16, 17, 21, 24, 29, 33, 40, 45, 47];[False, False, True, False, False, False, False, False, False, True, False, True, True, False, True, True, True, True, False, False, False, True, False, False, True, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, True, False, True, False, False];11.638745050271467%;0.7240023612976074 s
instancia_08_n100_m10.txt;5396.48916;[7, 20, 27, 33, 34, 36, 41, 44, 70, 94];[False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, True, True, False, True, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False];16.358743811808438%;0.9667229652404785 s
instancia_09_n125_m37.txt;110682.79254000014;[2, 10, 12, 13, 15, 17, 19, 25, 26, 30, 37, 39, 42, 49, 52, 53, 56, 61, 71, 74, 75, 76, 82, 86, 91, 92, 93, 94, 99, 100, 103, 104, 106, 109, 117, 119, 120];[False, False, True, False, False, False, False, False, False, False, True, False, True, True, False, True, False, True, False, True, False, False, False, False, False, True, True, False, False, False, True, False, False, False, False, False, False, True, False, True, False, False, True, False, False, False, False, False, False, True, False, False, True, True, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, True, True, True, False, False, False, False, False, True, False, False, False, True, False, False, False, False, True, True, True, True, False, False, False, False, True, True, False, False, True, True, False, True, False, False, True, False, False, False, False, False, False, False, True, False, True, True, False, False, False, False];3.6077458860382166%;4.538407802581787 s
instancia_10_n150_m15.txt;22401.94396;[9, 13, 21, 22, 35, 38, 42, 52, 63, 84, 86, 110, 122, 125, 149];[False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True];7.50152896257967%;2.194328546524048 s
